Country Name,Country Code,Region,Year,Fertility Rate,Life Expectancy
Argentina,ARG,The Americas,2013,2.335,75.98609756
Armenia,ARM,Asia,2013,1.553,74.56136585
Antigua and Barbuda,ATG,The Americas,2013,2.088,75.77865854
Australia,AUS,Oceania,2013,1.921,82.19756098
Austria,AUT,Europe,2013,1.44,80.8902439
Azerbaijan,AZE,Asia,2013,2,70.69314634
Burundi,BDI,Africa,2013,6.035,56.25160976
Belgium,BEL,Europe,2013,1.79,80.38536585
Benin,BEN,Africa,2013,4.846,59.31202439
Burkina Faso,BFA,Africa,2013,5.607,58.24063415
Bangladesh,BGD,Asia,2013,2.209,71.2452439
Bulgaria,BGR,Europe,2013,1.5,74.46585366
Bahrain,BHR,Middle East,2013,2.075,76.54595122
"Bahamas, The",BHS,The Americas,2013,1.883,75.07353659
Bosnia and Herzegovina,BIH,Europe,2013,1.272,76.27692683
Belarus,BLR,Europe,2013,1.62,72.47073171
Belize,BLZ,The Americas,2013,2.611,69.98204878
Bolivia,BOL,The Americas,2013,3.017,67.91343902
Brazil,BRA,The Americas,2013,1.801,74.12243902
Barbados,BRB,The Americas,2013,1.791,75.33395122
Brunei Darussalam,BRN,Asia,2013,1.893,78.54665854
Bhutan,BTN,Asia,2013,2.082,69.10292683
Botswana,BWA,Africa,2013,2.864,64.36080488
Central African Republic,CAF,Africa,2013,4.368,49.87987805
Canada,CAN,The Americas,2013,1.61,81.40112195
Switzerland,CHE,Europe,2013,1.52,82.74878049
Chile,CHL,The Americas,2013,1.774,81.19792683
China,CHN,Asia,2013,1.668,75.35302439
Cote d'Ivoire,CIV,Africa,2013,5.063,51.20846341
Cameroon,CMR,Africa,2013,4.781,55.04180488
"Congo, Rep.",COG,Africa,2013,4.919,61.66639024
Colombia,COL,The Americas,2013,1.922,73.80973171
Comoros,COM,Africa,2013,4.56,62.93217073
Cabo Verde,CPV,Africa,2013,2.339,72.97236585
Costa Rica,CRI,The Americas,2013,1.841,79.22521951
Cuba,CUB,The Americas,2013,1.622,79.25639024
Cyprus,CYP,Europe,2013,1.455,79.94978049
Czech Republic,CZE,Europe,2013,1.45,78.27804878
Germany,DEU,Europe,2013,1.38,81.04390244
Djibouti,DJI,Africa,2013,3.262,61.68646341
Denmark,DNK,Europe,2013,1.73,80.30243902
Dominican Republic,DOM,The Americas,2013,2.51,73.31990244
Algeria,DZA,Africa,2013,2.893,74.56895122
Ecuador,ECU,The Americas,2013,2.571,75.6485122
"Egypt, Arab Rep.",EGY,Africa,2013,3.336,70.92578049
Eritrea,ERI,Africa,2013,4.363,63.17787805
Spain,ESP,Europe,2013,1.32,82.42682927
Estonia,EST,Europe,2013,1.56,76.42439024
Ethiopia,ETH,Africa,2013,4.517,63.44219512
Finland,FIN,Europe,2013,1.8,80.83170732
Fiji,FJI,Oceania,2013,2.589,69.91792683
France,FRA,Europe,2013,2.01,81.96829268
"Micronesia, Fed. Sts.",FSM,Oceania,2013,3.294,68.97339024
Gabon,GAB,Africa,2013,3.963,63.84358537
United Kingdom,GBR,Europe,2013,1.92,80.95609756
Georgia,GEO,Asia,2013,1.817,74.0795122
Ghana,GHA,Africa,2013,4.209,61.14207317
Guinea,GIN,Africa,2013,5.094,58.2164878
"Gambia, The",GMB,Africa,2013,5.751,59.99926829
Guinea-Bissau,GNB,Africa,2013,4.906,54.83841463
Equatorial Guinea,GNQ,Africa,2013,4.924,57.29082927
Greece,GRC,Europe,2013,1.29,80.63414634
Grenada,GRD,The Americas,2013,2.171,73.19356098
Guatemala,GTM,The Americas,2013,3.263,71.48639024
Guam,GUM,Oceania,2013,2.406,78.8725122
Guyana,GUY,The Americas,2013,2.585,66.31002439
"Hong Kong SAR, China",HKG,Asia,2013,1.124,83.83170732
Honduras,HND,The Americas,2013,2.442,72.94285366
Croatia,HRV,Europe,2013,1.51,77.12682927
Haiti,HTI,The Americas,2013,3.098,62.40114634
Hungary,HUN,Europe,2013,1.34,75.26829268
Indonesia,IDN,Asia,2013,2.484,68.70460976
India,IND,Asia,2013,2.465,67.66041463
Ireland,IRL,Europe,2013,2.01,81.04390244
"Iran, Islamic Rep.",IRN,Middle East,2013,1.726,75.12597561
Iraq,IRQ,Middle East,2013,4.026,69.47168293
Iceland,ISL,Europe,2013,2.04,83.11707317
Italy,ITA,Europe,2013,1.43,82.2902439
Jamaica,JAM,The Americas,2013,2.26,73.46892683
Jordan,JOR,Middle East,2013,3.244,73.90141463
Japan,JPN,Asia,2013,1.43,83.33195122
Kazakhstan,KAZ,Asia,2013,2.64,70.45
Kenya,KEN,Africa,2013,4.406,60.95378049
Kyrgyz Republic,KGZ,Asia,2013,3.2,70.20243902
Cambodia,KHM,Asia,2013,2.683,67.77204878
Kiribati,KIR,Oceania,2013,3.765,65.76658537
"Korea, Rep.",KOR,Asia,2013,1.187,81.4597561
Kuwait,KWT,Middle East,2013,2.6,74.4627561
Lao PDR,LAO,Asia,2013,3.063,65.6872439
Lebanon,LBN,Middle East,2013,1.495,80.12887805
Liberia,LBR,Africa,2013,4.793,60.52039024
Libya,LBY,Africa,2013,2.507,71.65768293
St. Lucia,LCA,The Americas,2013,1.913,74.91270732
Sri Lanka,LKA,Asia,2013,2.339,74.24029268
Lesotho,LSO,Africa,2013,3.222,49.33146341
Lithuania,LTU,Europe,2013,1.6,74.16341463
Luxembourg,LUX,Europe,2013,1.57,81.79756098
Latvia,LVA,Europe,2013,1.44,73.9804878
"Macao SAR, China",MAC,Asia,2013,1.204,80.33914634
Morocco,MAR,Africa,2013,2.535,73.70904878
Moldova,MDA,Europe,2013,1.456,68.8115122
Madagascar,MDG,Africa,2013,4.468,64.67390244
Maldives,MDV,Asia,2013,2.152,76.60260976
Mexico,MEX,The Americas,2013,2.272,76.53265854
"Macedonia, FYR",MKD,Europe,2013,1.511,75.18704878
Mali,MLI,Africa,2013,6.314,57.53519512
Malta,MLT,Europe,2013,1.43,80.74634146
Myanmar,MMR,Asia,2013,2.239,65.65409756
Montenegro,MNE,Europe,2013,1.666,74.75836585
Mongolia,MNG,Asia,2013,2.657,69.06180488
Mozambique,MOZ,Africa,2013,5.418,54.6415122
Mauritania,MRT,Africa,2013,4.662,62.80270732
Mauritius,MUS,Africa,2013,1.44,74.46
Malawi,MWI,Africa,2013,5.22,61.466
Malaysia,MYS,Asia,2013,1.956,74.5675122
Namibia,NAM,Africa,2013,3.56,64.34387805
New Caledonia,NCL,Oceania,2013,2.28,77.12195122
Niger,NER,Africa,2013,7.623,60.82814634
Nigeria,NGA,Africa,2013,5.707,52.44214634
Nicaragua,NIC,The Americas,2013,2.3,74.5147561
Netherlands,NLD,Europe,2013,1.72,81.10487805
Norway,NOR,Europe,2013,1.85,81.45121951
Nepal,NPL,Asia,2013,2.292,69.222
New Zealand,NZL,Oceania,2013,1.95,81.40731707
Oman,OMN,Middle East,2013,2.823,76.84104878
Pakistan,PAK,Asia,2013,3.682,65.96368293
